"Format name"	"Starting value for format"	"Ending value for format"	"Format value label"
AGELTTWO	0	0	UNK
AGELTTWO	2	120	2 YEARS AND OLDER
AGELTTWO	201	201	1 MONTH
AGELTTWO	202	202	2 MONTHS
AGELTTWO	203	203	3 MONTHS
AGELTTWO	204	204	4 MONTHS
AGELTTWO	205	205	5 MONTHS
AGELTTWO	206	206	6 MONTHS
AGELTTWO	207	207	7 MONTHS
AGELTTWO	208	208	8 MONTHS
AGELTTWO	209	209	9 MONTHS
AGELTTWO	210	210	10 MONTHS
AGELTTWO	211	211	11 MONTHS
AGELTTWO	212	212	12 MONTHS
AGELTTWO	213	213	13 MONTHS
AGELTTWO	214	214	14 MONTHS
AGELTTWO	215	215	15 MONTHS
AGELTTWO	216	216	16 MONTHS
AGELTTWO	217	217	17 MONTHS
AGELTTWO	218	218	18 MONTHS
AGELTTWO	219	219	19 MONTHS
AGELTTWO	220	220	20 MONTHS
AGELTTWO	221	221	21 MONTHS
AGELTTWO	222	222	22 MONTHS
AGELTTWO	223	223	23 MONTHS
ALC_DRUG	.	.	NA before 2019
ALC_DRUG	0	0	No/Unk
ALC_DRUG	1	1	Yes
BDYPT	0	0	0 - INTERNAL
BDYPT	30	30	30 - SHOULDER
BDYPT	31	31	31 - UPPER TRUNK
BDYPT	32	32	32 - ELBOW
BDYPT	33	33	33 - LOWER ARM
BDYPT	34	34	34 - WRIST
BDYPT	35	35	35 - KNEE
BDYPT	36	36	36 - LOWER LEG
BDYPT	37	37	37 - ANKLE
BDYPT	38	38	38 - PUBIC REGION
BDYPT	75	75	75 - HEAD
BDYPT	76	76	76 - FACE
BDYPT	77	77	77 - EYEBALL
BDYPT	78	78	78 - UPPER TRUNK(OLD)
BDYPT	79	79	79 - LOWER TRUNK
BDYPT	80	80	80 - UPPER ARM
BDYPT	81	81	81 - UPPER LEG
BDYPT	82	82	82 - HAND
BDYPT	83	83	83 - FOOT
BDYPT	84	84	84 - 25-50% OF BODY
BDYPT	85	85	85 - ALL PARTS BODY
BDYPT	86	86	86 - OTHER(OLD)
BDYPT	87	87	87 - NOT STATED/UNK
BDYPT	88	88	88 - MOUTH
BDYPT	89	89	89 - NECK
BDYPT	90	90	90 - LOWER ARM(OLD)
BDYPT	91	91	91 - LOWER LEG(OLD)
BDYPT	92	92	92 - FINGER
BDYPT	93	93	93 - TOE
BDYPT	94	94	94 - EAR
DIAG	41	41	41 - INGESTION
DIAG	42	42	42 - ASPIRATION
DIAG	46	46	46 - BURN, ELECTRICAL
DIAG	47	47	47 - BURN, NOT SPEC.
DIAG	48	48	48 - BURN, SCALD
DIAG	49	49	49 - BURN, CHEMICAL
DIAG	50	50	50 - AMPUTATION
DIAG	51	51	51 - BURNS, THERMAL
DIAG	52	52	52 - CONCUSSION
DIAG	53	53	53 - CONTUSIONS, ABR.
DIAG	54	54	54 - CRUSHING
DIAG	55	55	55 - DISLOCATION
DIAG	56	56	56 - FOREIGN BODY
DIAG	57	57	57 - FRACTURE
DIAG	58	58	58 - HEMATOMA
DIAG	59	59	59 - LACERATION
DIAG	60	60	60 - DENTAL INJURY
DIAG	61	61	61 - NERVE DAMAGE
DIAG	62	62	62 - INTERNAL INJURY
DIAG	63	63	63 - PUNCTURE
DIAG	64	64	64 - STRAIN, SPRAIN
DIAG	65	65	65 - ANOXIA
DIAG	66	66	66 - HEMORRHAGE
DIAG	67	67	67 - ELECTRIC SHOCK
DIAG	68	68	68 - POISONING
DIAG	69	69	69 - SUBMERSION
DIAG	70	70	70 - OTHER
DIAG	71	71	71 - OTHER
DIAG	72	72	72 - AVULSION
DIAG	73	73	73 - RADIATION
DIAG	74	74	74 - DERMA/CONJUNCT
DISP	0	0	0 - NO INJURY
DISP	1	1	1 - TREATED/EXAMINED AND RELEASED
DISP	2	2	2 - TREATED AND TRANSFERRED
DISP	4	4	4 - TREATED AND ADMITTED/HOSPITALIZED
DISP	5	5	5 - HELD FOR OBSERVATION
DISP	6	6	6 - LEFT WITHOUT BEING SEEN
DISP	8	8	8 - FATALITY INCL. DOA, DIED IN ER
DISP	9	9	9 - UNKNOWN, NOT STATED
FIRE	0	0	NO/?
FIRE	1	1	FD
FIRE	2	2	NO FD
FIRE	3	3	? FD
FIRE	4	4	MV
GENDER	0	0	UNKNOWN
GENDER	1	1	MALE
GENDER	2	2	FEMALE
HISP	.	.	NA before 2019
HISP	0	0	Unk/Not stated
HISP	1	1	Yes
HISP	2	2	No
LOC	0	0	UNK
LOC	1	1	HOME
LOC	2	2	FARM
LOC	3	3	APART.
LOC	4	4	STREET
LOC	5	5	PUBLIC
LOC	6	6	MOBILE
LOC	7	7	INDST.
LOC	8	8	SCHOOL
LOC	9	9	SPORTS
PROD	101	101	101 - WASHING MACHINES WITHOUT WRINGERS OR OTHER DRYERS
PROD	102	102	102 - WRINGER WASHING MACHINES
PROD	103	103	103 - WASHING MACHINES WITH UNHEATED SPIN DRYERS
PROD	106	106	106 - ELECTRIC CLOTHES DRYERS WITHOUT WASHERS
PROD	107	107	107 - GAS CLOTHES DRYERS WITHOUT WASHERS
PROD	108	108	108 - MANGLE IRONS
PROD	110	110	110 - ELECTRIC HEATING PADS
PROD	112	112	112 - SEWING MACHINES OR ACCESSORIES
PROD	113	113	113 - FLOOR BUFFERS OR WAXERS
PROD	114	114	114 - RUG SHAMPOOERS
PROD	115	115	115 - VACUUM CLEANERS
PROD	116	116	116 - ELECTRIC BROOMS
PROD	118	118	118 - GAS WATER HEATERS
PROD	119	119	119 - ELECTRIC WATER HEATERS
PROD	125	125	125 - WATER SOFTENERS OR CONDITIONERS (APPLIANCES)
PROD	126	126	126 - WASHING MACHINES, NOT SPECIFIED
PROD	127	127	127 - CLOTHES DRYERS, NOT SPECIFIED
PROD	131	131	131 - PROPANE, LP OR BUTANE GAS TANKS OR FITTINGS
PROD	132	132	132 - ELECTRIC BLANKETS OR SHEETS
PROD	133	133	133 - OTHER WATER HEATERS
PROD	134	134	134 - WATER HEATERS, NOT SPECIFIED
PROD	135	135	135 - WASHER-DRYER COMBINATIONS (WITHIN ONE FRAME)
PROD	136	136	136 - DRINKING FOUNTAINS
PROD	137	137	137 - AUTOMATIC DOORS OR DOOR OPENERS
PROD	138	138	138 - AUTOMATIC GARAGE DOORS OR DOOR OPENERS
PROD	139	139	139 - INCINERATORS
PROD	140	140	140 - WASHING MACHINES, OTHER OR NOT SPECIFIED
PROD	202	202	202 - ELECTRIC COUNTER-MOUNTED COOKING SURFACES
PROD	204	204	204 - GAS COUNTER-MOUNTED COOKING SURFACES
PROD	212	212	212 - ELECTRIC CORN POPPERS
PROD	213	213	213 - ELECTRIC CAN OPENERS
PROD	214	214	214 - DISHWASHERS
PROD	215	215	215 - ELECTRIC BLENDERS
PROD	216	216	216 - ELECTRIC COUNTER-TOP OVENS, BROILERS OR TOASTER OVENS
PROD	217	217	217 - ELECTRIC COFFEE MAKERS OR TEAPOTS
PROD	218	218	218 - ELECTRIC OR BATTERY-POWERED KNIVES
PROD	219	219	219 - ELECTRIC DEEP FRYERS
PROD	221	221	221 - FOOD WARMERS
PROD	222	222	222 - ELECTRIC FRYING PANS AND SKILLETS
PROD	223	223	223 - ELECTRIC GRIDDLES
PROD	224	224	224 - HOT PLATES
PROD	227	227	227 - ICE MAKERS (SEPARATE FROM REFRIGERATORS)
PROD	231	231	231 - ELECTRIC MIXERS
PROD	232	232	232 - ELECTRIC SCISSORS
PROD	234	234	234 - TOASTERS
PROD	235	235	235 - ELECTRIC WAFFLE IRONS
PROD	236	236	236 - FAUCET WATER HEATERS
PROD	237	237	237 - GARBAGE DISPOSERS
PROD	238	238	238 - DRY HEAT IRONS
PROD	239	239	239 - STEAM IRONS
PROD	240	240	240 - ELECTRIC KNIFE SHARPENERS
PROD	241	241	241 - ROTISSERIES
PROD	242	242	242 - ELECTRIC IMMERSION WATER HEATERS
PROD	247	247	247 - IRONS, NOT SPECIFIED
PROD	250	250	250 - RANGE OR OVEN ACCESSORIES
PROD	252	252	252 - TRASH COMPACTORS
PROD	255	255	255 - CLOTHES STEAMERS
PROD	257	257	257 - COUNTER-MOUNTED COOKING SURFACES, NOT SPECIFIED
PROD	259	259	259 - ELECTRIC RANGES (WITH OVENS)
PROD	260	260	260 - GAS RANGES (WITH OVENS)
PROD	261	261	261 - ELECTRIC OVENS
PROD	262	262	262 - GAS OVENS
PROD	263	263	263 - FREEZERS (SEPARATE FROM REFRIGERATORS)
PROD	264	264	264 - MICROWAVE OVENS
PROD	265	265	265 - OTHER OVENS
PROD	266	266	266 - OVENS, NOT SPECIFIED
PROD	267	267	267 - OTHER RANGES (WITH OVENS)
PROD	268	268	268 - SLOW COOKERS
PROD	269	269	269 - ELECTRIC KETTLES OR HOT POTS
PROD	270	270	270 - ICE CRUSHERS
PROD	271	271	271 - JUICERS
PROD	273	273	273 - RANGES, NOT SPECIFIED
PROD	274	274	274 - ICE CREAM MAKERS
PROD	275	275	275 - FOOD PROCESSORS
PROD	276	276	276 - REFRIGERATORS
PROD	277	277	277 - CLOTHING IRONS
PROD	278	278	278 - ELECTRIC RANGES OR OVENS (EXCL COUNTER-TOP OVENS)
PROD	279	279	279 - GAS RANGES OR OVENS
PROD	280	280	280 - OTHER RANGES OR OVENS
PROD	281	281	281 - RANGES OR OVENS, NOT SPECIFIED
PROD	304	304	304 - HUMIDIFIERS
PROD	305	305	305 - VAPORIZERS
PROD	306	306	306 - DEHUMIDIFIERS
PROD	307	307	307 - AIR PURIFIERS
PROD	308	308	308 - BOILERS
PROD	309	309	309 - COAL FURNACES
PROD	310	310	310 - GAS FURNACES
PROD	311	311	311 - OIL FURNACES
PROD	312	312	312 - ELECTRIC BASEBOARD HEATERS
PROD	316	316	316 - WOOD BURNING FIREPLACES, FACTORY BUILT
PROD	318	318	318 - ELECTRIC FURNACES
PROD	322	322	322 - FURNACES, OTHER OR NOT SPECIFIED
PROD	334	334	334 - GAS-BURNING FIREPLACES, FACTORY BUILT
PROD	336	336	336 - BUILT-IN FIREPLACES
